pjX｜学習項目詳細（学び方）											
											
No	ジャンル	到達 レベル	項目	学習目標	学習ステップ（順番）	教材（読む／見る）	演習（やってみる・問題数）	合格基準	想定学習 時間(h)	評価方法	備考
90	AIエンジニアリング（応用）	L2	タスク分解と段階実装（検証ゲート）	タスクを小さく分け、各段階で検証を挟んで実装させられる	①独立した小単位に分割 → ②1タスクずつAIに実装 → ③各段階で検証ゲート(テスト/diffレビュー) → ④通ったら次へ	段階実装/検証ゲートの解説	tasks.mdに沿って5タスクを段階実装、各段階で検証				【応用】SDD
91	AIエンジニアリング（応用）	L2	受け入れ基準とAIの自己検証	受け入れ基準を定義し、AIに自己検証させられる	①受け入れ基準の書き方 → ②基準をAIに渡す → ③AIに自己チェックさせる → ④人が最終確認	受け入れ基準/自己検証の解説	ある機能の受け入れ基準を書き、AIに照合・自己検証させる				【応用】SDD
92	AIエンジニアリング（応用）	L1	エージェントのループ設計	計画→実行→観察→修正のループを設計し安定して回せる	①ループの構造 → ②計画を出させる → ③実行→結果を観察 → ④修正して再実行 → ⑤停止条件を決める	エージェントループ(plan-act-observe)の解説	1タスクをループ設計で回し、観察→修正を記録				【応用】エージェント
93	AIエンジニアリング（応用）	L1	自律度の制御（承認・権限・サンドボックス）	自律度を制御し、危険な操作を承認制・サンドボックスで安全運用できる	①自律度の段階を理解 → ②承認が要る操作を決める → ③権限/サンドボックスを設定 → ④ログで監査	権限/承認/サンドボックスの解説	承認ゲートと権限を設定してエージェントを安全に動かす				【応用】エージェント
94	AIエンジニアリング（応用）	L2	サブエージェント／マルチエージェント	役割を分けた複数エージェント(指揮役+作業役)を設計・連携できる	①役割分担の考え方 → ②指揮役(orchestrator)と作業役 → ③受け渡しの設計 → ④統合	マルチエージェント/サブエージェントの解説	調査役+実装役+レビュー役に分けてタスクを進める1本				【応用】エージェント ／ 【前提・難度】単体エージェント開発に習熟。実質L2上位
95	AIエンジニアリング（応用）	L2	並列エージェント運用（worktree等）	複数タスクを並行で進め、競合を避けて統合できる	①並列化できるタスクを見極め → ②git worktree等で作業を分離 → ③並行実行 → ④統合/コンフリクト解消	並列開発/worktreeの解説	独立した2タスクを並列に進め統合する				【応用】エージェント ／ 【前提】Git/worktree＋エージェント習熟
96	AIエンジニアリング（応用）	L1	コンテキストエンジニアリング	何を読ませ何を削るかを設計し、精度とコストを両立できる	①文脈窓の制約を理解 → ②必要な情報だけ渡す → ③要約/分割で圧縮 → ④長い作業はメモ/中間成果で引き継ぐ	コンテキストエンジニアリングの解説	大きめタスクで渡す情報の取捨選択を設計し結果を比較				【応用】コンテキスト
97	AIエンジニアリング（応用）	L1	リポジトリのAI向け整備	CLAUDE.md/AGENTS.md・規約・例を整え、AIが迷わない土台を作れる	①AIが必要とする前提を洗い出す → ②規約/方針/用語を文書化 → ③良い例/悪い例を置く → ④更新の運用	リポジトリ整備/コンテキストファイルの解説	既存リポジトリにCLAUDE.md/AGENTS.mdと規約を整備				【応用】コンテキスト
98	AIエンジニアリング（応用）	L2	コードベース検索・インデックス（コードRAG）	大きなコードベースを検索/インデックスし必要箇所を渡せる	①検索/インデックスの仕組み → ②関連箇所の見つけ方 → ③必要箇所だけ渡す	コード検索/RAGの解説	大きめリポジトリで関連箇所を検索しAIに渡して修正				【応用】コンテキスト ／ 【前提】既存コード読解＋検索の仕組み理解
99	AIエンジニアリング（応用）	L2	MCPでツール・データに接続	MCP(Model Context Protocol)でAIを外部ツール/データにつなげる	①MCPの考え方 → ②サーバ/ツールの接続 → ③AIから呼ぶ → ④安全に使う	MCPの解説、接続例	MCP経由で1つの外部ツール/データにつなぎAIから操作				【応用】拡張 ／ 【前提・難度】API連携＋エージェント開発。実装ハードル高め
100	AIエンジニアリング（応用）	L2	カスタムコマンド／スキルの自作	よく使う手順をスラッシュコマンド/スキルとして再利用できる	①頻出手順を洗い出す → ②コマンド/スキルとして定義 → ③共有 → ④改善	カスタムコマンド/スキル作成の解説	頻出手順を1つコマンド/スキル化して使い回す				【応用】拡張
101	AIエンジニアリング（応用）	L2	フック（hooks）で自動化	整形・テスト・ガードを自動で挟むフックを設定できる	①フックの仕組み → ②整形/テスト/ガードを挟む → ③失敗時の扱い	フックの解説	コミット/編集時に整形・テストが走るフックを設定				【応用】拡張
102	AIエンジニアリング（応用）	L2	再利用可能なワークフロー化	個人の使い方を社内標準の型(テンプレ/手順)に落とせる	①うまくいった進め方を言語化 → ②テンプレ/手順化 → ③共有 → ④改善	ワークフロー標準化の解説、cc-sdd等の型の例	自分の開発フローを1つテンプレ化し他者が使える形にする				【応用】標準化
103	AIエンジニアリング（応用）	L1	高度なプロンプト技法	few-shot・思考の連鎖・自己批判・役割分担を使い分けられる	①few-shot(例示) → ②思考の連鎖(段階的に考えさせる) → ③自己批判/見直し → ④役割を与える	高度なプロンプト技法の解説、例	同じ課題に各技法を当てて結果を比較10題				【応用】プロンプト
104	AIエンジニアリング（応用）	L2	プロンプトの管理・バージョン管理	プロンプトをコードのように管理し変更を追える	①プロンプトをファイルで管理 → ②バージョン管理 → ③差分で改善を追う	プロンプト管理の解説	プロンプトをリポジトリ管理し改善を差分で記録				【応用】プロンプト
105	AIエンジニアリング（応用）	L2	AI出力の評価（evals）・回帰テスト	AIの出力を評価セット(evals)で測り回帰を検知できる	①評価項目を決める → ②評価セットを作る → ③自動で測る → ④変更時に回帰チェック	evals/評価の解説	あるタスクの評価セット(10件)を作り出力を採点				【応用】品質 ／ 【前提・難度】AI開発の実務。評価設計は地味に難所
106	AIエンジニアリング（応用）	L2	ガードレール・安全対策	ハルシネーション/危険出力を防ぐガードレールを設計できる	①リスクを洗い出す → ②入力/出力の検証 → ③禁止事項のガード → ④検知時の扱い	ガードレール/安全対策の解説	ある機能にガードレール(入力検証/出力チェック)を入れる				【応用】品質
107	AIエンジニアリング（応用）	L2	コスト・トークン最適化（応用）	キャッシュ・モデル選択・分割で品質を保ちつつコストを下げられる	①コストの内訳を把握 → ②キャッシュ → ③モデル使い分け → ④分割/要約で削減	コスト最適化(応用)の解説	ある処理のコストを測り最適化案を当てて比較				【応用】品質
108	AIエンジニアリング（応用）	L3	LLMアプリ開発	プロンプト設計＋評価＋ガードレール込みでLLM機能を製品に実装できる	①機能設計 → ②プロンプト設計 → ③評価/ガードレール → ④実装 → ⑤運用	LLMアプリ開発の解説	LLMを使う小機能を評価とガードレール込みで1本実装				【応用】製品化／ベイカレント級 ／ 【前提・難度】API/プロンプト/評価/ガードレール一式。製品水準で重い
109	AIエンジニアリング（応用）	L3	RAG（検索拡張生成）の実装	自前データを検索してLLMに渡すRAGを実装できる	①RAGの仕組み → ②データの取り込み/分割 → ③検索 → ④LLMに渡して回答	RAGの解説、実装例	小さなデータでRAGを1本実装				【応用】製品化／ベイカレント級 ／ 【前提】API連携＋データ処理＋ベクトル検索の理解
110	AIエンジニアリング（応用）	L3	ツール使用（function calling）の組み込み	function callingでLLMに外部操作をさせる機能を組み込める	①ツール定義 → ②呼び出しの設計 → ③結果の扱い → ④安全に組み込む	function calling/ツール使用の解説	ツールを1つ定義しLLMから呼ぶ機能を実装				【応用】製品化／ベイカレント級 ／ 【前提】API連携＋ツール設計
111	AIエンジニアリング（応用）	L3	AI機能の運用（監視・ログ・改善）	本番のAI機能を監視・ログ・評価で改善し続けられる	①ログ/監視を設計 → ②品質を継続評価 → ③問題を検知 → ④改善を回す	AI機能の運用/監視の解説	あるAI機能のログ/監視/評価の運用を設計				【応用】製品化／ベイカレント級 ／ 【前提】本番運用・監視の経験
112	AI活用・仕事術	L1	音声入力	声で作業を速める	①音声入力ツールを使う → ②口述で文章/指示を出す	音声入力ツールの使い方	口述で議事録/指示を作る				
113	AI活用・仕事術	L1	長い文章を読む力	長文を速く正確に読む	①拾い読み/論点抽出 → ②長文で練習	速読/論点抽出の解説、長いマークダウン	AIの長文出力から要点・誤りを抜き出す				
114	AI活用・仕事術	L1	画面・作業環境	作業環境を整える	①マルチディスプレイ/ショートカット等 → ②自分の環境を整える	作業効率化の解説	自分の作業環境を見直して改善する				
